Timestamp,Mode,Latency_Sec,CPU_Percent,Memory_MB
22:17:34,Sincron (V1),32.3004,400.2,1278.3
22:18:12,Sincron (V1),31.3528,411.4,1280.8
22:18:45,Sincron (V1),31.9255,412.9,1283.0
22:19:19,Sincron (V1),32.9138,411.2,1283.9
22:19:22,Asincron (V2),2.5449,99.4,1334.5
22:19:26,Asincron (V2),2.4992,100.6,1341.0
22:19:29,Asincron (V2),2.4319,99.4,1343.2
22:19:33,Asincron (V2),2.7813,97.2,1348.2
22:19:37,Asincron (V2),2.577,100.6,1351.9
22:19:40,Asincron (V2),2.4651,98.7,1352.5
22:19:44,Asincron (V2),2.4876,100.0,1350.6
22:19:47,Asincron (V2),2.5874,99.4,1351.9
22:19:51,Asincron (V2),2.4912,100.0,1376.5
22:19:54,Asincron (V2),2.4873,99.4,1392.4
22:23:46,Asincron (V2),3.3935,98.1,1189.8
22:25:43,Sincron (V1),30.4637,379.5,1283.9
22:27:58,Asincron (V2),2.9498,100.5,1321.8
